                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87705,                0.94384,                0.99267,                0.99848,                0.98701,                0.98503,                0.78408,                0.74671,                0.94845,                0.95374,              0.0006932,              0.0006932,              0.0006932
                     36,                 0.8538,                0.89211,                0.96382,                0.99868,                0.98701,                0.98503,                0.78178,                 0.7245,                0.93845,                0.95415,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80369,                0.87202,                0.96682,                0.99771,                0.98701,                0.98503,                0.78563,                 0.6839,                0.92261,                0.93905,               0.000614,               0.000614,               0.000614
                     38,                0.77172,                0.85453,                0.95227,                0.99951,                0.98701,                0.98503,                0.78832,                0.66909,                0.89792,                0.93285,              0.0005744,              0.0005744,              0.0005744
                     39,                0.81911,                0.83653,                0.94785,                      1,                0.98471,                0.98503,                 0.8001,                0.68751,                0.87294,                0.93126,              0.0005348,              0.0005348,              0.0005348
                     40,                0.79881,                0.85516,                 0.9703,                0.99802,                0.98701,                0.98503,                0.82636,                0.62498,                0.81295,                0.89262,              0.0004952,              0.0004952,              0.0004952
                     41,                0.67055,                 1.0815,                0.91941,                0.99833,                0.98701,                0.98503,                0.83556,                0.62458,                0.82929,                0.88725,              0.0004556,              0.0004556,              0.0004556
                     42,                0.73493,                 1.0553,                 0.9602,                0.99877,                0.98701,                0.98503,                0.82828,                0.63363,                0.87569,                0.88638,               0.000416,               0.000416,               0.000416
                     43,                0.74715,                 1.0747,                 0.9567,                0.99874,                0.98701,                0.98503,                0.81303,                0.65459,                0.92078,                0.88825,              0.0003764,              0.0003764,              0.0003764
                     44,                0.69797,                 1.1044,                0.93079,                0.98445,                0.98701,                0.98399,                0.82998,                0.64227,                0.90781,                0.88287,              0.0003368,              0.0003368,              0.0003368
                     45,                0.66869,                 1.0261,                0.88325,                0.99753,                0.98701,                0.98503,                0.83753,                0.61633,                0.84624,                0.87661,              0.0002972,              0.0002972,              0.0002972
                     46,                0.65163,                0.97584,                0.92492,                0.99869,                0.98701,                0.98503,                0.84478,                 0.6019,                0.79976,                0.87317,              0.0002576,              0.0002576,              0.0002576
                     47,                0.64271,                0.95017,                0.88362,                0.99889,                0.98701,                0.98503,                 0.8483,                0.59288,                0.76786,                0.87128,               0.000218,               0.000218,               0.000218
                     48,                0.60426,                0.96772,                0.90076,                0.99912,                0.98701,                0.98503,                0.84448,                0.58752,                0.73421,                0.86952,              0.0001784,              0.0001784,              0.0001784
                     49,                0.67703,                0.91775,                0.88903,                0.99907,                0.98701,                0.98503,                0.85919,                0.57849,                0.72666,                0.86715,              0.0001388,              0.0001388,              0.0001388
                     50,                0.62539,                0.90021,                0.91223,                0.99891,                0.98701,                0.98503,                0.86176,                0.56846,                0.71811,                0.86573,               9.92e-05,               9.92e-05,               9.92e-05
