                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4611,                 3.9594,                 1.5281,                0.00206,                0.61039,                0.00906,                0.00555,                  1.539,                 4.5044,                  1.802,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.1763,                 3.4419,                 1.2123,                0.00329,                0.97403,                0.44309,                 0.3498,                0.86357,                 3.6538,                 1.0159,              0.0001206,              0.0001206,              0.0001206
                      3,                0.97667,                 2.6023,                 1.0315,                0.08036,                0.76623,                0.66485,                0.48416,                0.81212,                   3.37,                0.90988,               9.52e-05,               9.52e-05,               9.52e-05
